file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_MV0454_0087_523103_to_525583,ཨ་ཧ་འོས། རྨོ ,a ha 'os/_rmo_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0454_0087_523103_to_525583.wav,STT_MV,3,13,2.48,wav16k/STT_MV0454_0087_523103_to_525583.wav,ཨ་ཨ་འོ། རྨོ
STT_AB00264_0039_277909_to_288506,ཧྲུའུ་ཅི་ཡང་ཧ་ལམ་བཟི་ནས་ཡོད་པས། གདོང་པ་དམར་རྐྱང་ཆགས་པ་དང་། ཆང་ཕོར་ཚུར་ལེན་བཞིན། དེ་རང་ཞུས་ཆོག ཡིན་ནས་ད་ལྟ་བར་རང་གི་གནས་ཚུལ་ཐག་གཅོད་མ་ཐུབ་ཙང་ ,hru'u ci yang ha lam bzi nas yod pas/_gdong pa dmar rkyang chags pa dang /_chang phor tshur len bzhin/_de rang zhus chog_yin nas da lta bar rang gi gnas tshul thag gcod ma thub tsang _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00264_0039_277909_to_288506.wav,STT_AB,3,141,10.597,wav16k/STT_AB00264_0039_277909_to_288506.wav,ཧྲུའུ་ཅི་ཡང་ཧ་ལམ་བཟི་ནས་ཡོད་པས་གདོང་པ་དམར་རྐྱང་ཆགས་པ་དང་ཆང་ཕོར་ཚུར་ལེན་བཞིན་དེ་རང་ཞུས་ཆོག ཡིན་ནས་ད་ལྟ་བར་རང་གི་གནས་ཚུལ་ཐག་གཅོད་མ་ཐུབ་ཙང་
STT_NS_M0420_0103_1269689_to_1277154,ཉི་མ་ཉི་མ་ཡོད་བ་ཁོང་ཁྲོ་གི་ཚད་གཞི་དེ་ཉུང་རུ་ཉུང་རུ་བཏང་ན་ཨེ་ནས་དུས་ཚོད་གཅིག་ད་ཁྱོད་རང་གི་རྒྱུད་ལ་ཡོད་བ་བཟོད་སྒོམ་དེ།  ,nyi ma nyi ma yod ba khong khro gi tshad gzhi de nyung ru nyung ru btang na e nas dus tshod gcig da khyod rang gi rgyud la yod ba bzod sgom de/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0420_0103_1269689_to_1277154.wav,STT_NS,3,118,7.465,wav16k/STT_NS_M0420_0103_1269689_to_1277154.wav,ཉི་མ་ཉི་མ་ཡོད་བ། ཁོང་ཁྲོ་གི་ཚད་གཞི་དེ་ཉུང་རུ་ཉུང་རུ་བཏང་ན་ཨེ་ནས་དུས་ཚོད་གཅིག་ད་ཁྱོད་རང་གི་རྒྱུད་ལ་ཡོད་བ་བཟོད་སྒོམ་དེ།
STT_PC0089_0027_224772_to_227556,བྱས་ཙང་དེ་གས་དེ་ཟས་སྤྱོད་དེ་གས་དེ་ཚུལ་བཞིན་དུ་མ་སྲུང་པ་བྱས་བྱས། ཨེ་ནས།  ,byas tsang de gas de zas spyod de gas de tshul bzhin du ma srung pa byas byas/_e nas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0089_0027_224772_to_227556.wav,STT_PC,3,72,2.784,wav16k/STT_PC0089_0027_224772_to_227556.wav,བྱས་ཙང་འདི་གས་འདི་ཟས་སྤྱོད་དེ་གས་དེ་ཚུལ་བཞིན་དུ་མ་གསུང་པ་བྱས་བྱས། ཨེ་ནས།
STT_TT00761_1718_10682653_to_10688626,སླར་བསྡུས་ཏེ་བག་ཡོད་པར་གདམས་པ་ཟེར་ནས། ས་བཅད་བཞི་ཡོང་གི་འདུག་བ། དེའི་ནང་ནས་ས་བཅད་དང་པོའི་ནང་ལ་དེ་ནས།  ,slar bsdus te bag yod par gdams pa zer nas/_sa bcad bzhi yong gi 'dug ba/_de'i nang nas sa bcad dang po'i nang la de nas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00761_1718_10682653_to_10688626.wav,STT_TT,3,101,5.973,wav16k/STT_TT00761_1718_10682653_to_10688626.wav,སླར་བསྡུས་ཏེ། བག་ཡོད་པར་གདམས་པ་ཟེར་ན། ས་བཅད་བཞི་ཡོང་གི་འདུག་བ། དེའི་ནང་ནས་ས་བཅད་དང་པོའི་ནང་ལ་དེ་ནས།
STT_AB00265_0032_202005_to_208848,ཨ་མར་དེ་ལྟར་བཤད་ཀྱང་ཕན་ཐོགས་ཀི་མེད་པས། ཅི་ཡང་མ་བཤད་པར་འགྲོ་རྩིས་བྱས། འཆི་མེད་དབང་མོ་བསྐྱར་དུ་ ,a mar de ltar bshad kyang phan thogs ki med pas/_ci yang ma bshad par 'gro rtsis byas/_'chi med dbang mo bskyar du _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00265_0032_202005_to_208848.wav,STT_AB,3,94,6.843,wav16k/STT_AB00265_0032_202005_to_208848.wav,ཨ་མར་དེ་ལྟར་བཤད་ཀྱང་ཕན་ཐོགས་ཀྱི་མེད་པས་ཅི་ཡང་མ་བཤད་པར་འགྲོ་རྩིས་བྱས། འཆི་མེད་དབང་མོ་བསྐྱར་དུ་
STT_TT00736_0314_1755806_to_1759646,རྣམ་རྟོག་ངོ་བོ་ཆོས་སྐུར་གསུངས་པ་བཞིན་ཟེ་ད། རྣམ་རྟོག་གི་ངོ་བོ་ཆོས་སྐུ་དེ།  ,rnam rtog ngo bo chos skur gsungs pa bzhin ze da/_rnam rtog gi ngo bo chos sku de/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00736_0314_1755806_to_1759646.wav,STT_TT,3,74,3.84,wav16k/STT_TT00736_0314_1755806_to_1759646.wav,རྣམ་རྟོག་ངོ་བོ་ཆོས་སྐུར་གསུངས་པ་བཞིན་ཟེ། ད་རྣམ་རྟོག་གི་ངོ་བོ་ཆོས་སྐུ་དེ།
STT_MV0454_0095_567830_to_570546,རྨོ། རླུང་མ་བྱེད་ད་ཨུ་གོ ལྟོས་ད ,rmo/_rlung ma byed da u go_ltos da_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0454_0095_567830_to_570546.wav,STT_MV,3,32,2.716,wav16k/STT_MV0454_0095_567830_to_570546.wav,རྨོ་ རླུང་མ་བྱེད་ད་ཨུ་གོ ལྟོས་ད
STT_MV0454_0096_570546_to_572826,ད་བརྙན་འཕྲིན་ལས་ཁུངས་ནས་མི་དགོས་ཟེར་ན་ཨ ,da brnyan 'phrin las khungs nas mi dgos zer na a_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0454_0096_570546_to_572826.wav,STT_MV,3,40,2.28,wav16k/STT_MV0454_0096_570546_to_572826.wav,ད་བརྙན་འཕྲིན་ལས་ཁུངས་ནས་མི་དགོས་ཟེར་ན་ཨ།
STT_TT00768_0399_2365418_to_2368970,ཨེ་རྒྱུན་ཆགས། དཀོན་མཆོག་གསུམ་ལ་བདག་སྐྱབས། སྡིག་པ་ཐམས་ཅད་སོ་སོར། ལ་སོགས་པ།  ,e rgyun chags/_dkon mchog gsum la bdag skyabs/_sdig pa thams cad so sor/_la sogs pa/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00768_0399_2365418_to_2368970.wav,STT_TT,3,75,3.552,wav16k/STT_TT00768_0399_2365418_to_2368970.wav,རྒྱུན་ཆགས་དཀོན་མཆོག་གསུམ་ལ་བདག་ྐྱད་སྡིག་པ་ཐམས་ཅད་སོ་སོར་ལ་སོགས་པ།
STT_MV0944_0215_1626396_to_1629708,བཙུན་མོ་ཁྱེད་རང་གིས་ཕྱི་ལོགས་ལ་གོམ་པ་གང་སྤོས་ན་གསད་རྐྱང་གྱིས་གསུང་གིས་ ,btsun mo khyed rang gis phyi logs la gom pa gang spos na gsad rkyang gyis gsung gis _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0944_0215_1626396_to_1629708.wav,STT_MV,3,71,3.312,wav16k/STT_MV0944_0215_1626396_to_1629708.wav,བཙུན་མོ་ཁྱེད་རང་གིས་ཕྱི་ལོགས་ལ་གོམ་པ་གང་སྤོས་ན་གསད་རྐྱང་གྱིས་གསུངས་ཀིས།
STT_PC0135_0023_147636_to_155972,ད་ལྷན་རྒྱས་ཀིས་གཅིག་བྱས་ན་ཨ་དེ་འདྲས་ཅིག་ཡོད་རེད། ཐུགས་སྣང་ནང་ལོགས་ལ་ཕྱི་རྒྱལ་གི་བུ་གུ་ཚོ་ཡིན་པ་ཡིན་ན་སྣང་བ་སྐྱིད་པོ་ཞེ་བོ་ཅིག་ད། ག་རེ་བྱེད་མྱི་བྲོ་ནས།  ,da lhan rgyas kis gcig byas na a de 'dras cig yod red/_thugs snang nang logs la phyi rgyal gi bu gu tsho yin pa yin na snang ba skyid po zhe bo cig da/_ga re byed myi bro nas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0135_0023_147636_to_155972.wav,STT_PC,3,152,8.336,wav16k/STT_PC0135_0023_147636_to_155972.wav,ད་ལྷན་རྒྱས་ཀིས་ཅིག་བྱས་ན་ཨ་དེ་འདྲས་ཅིག་ཡོད་རེད། ཐུགས་སྣང་ནང་ལོགས་ལ་ཕྱི་རྒྱལ་གི་བུ་གུ་ཚོ་ཡིན་པ་ཡིན་ན། སྣང་བ་སྐྱིད་པོ་ཞེ་བོ་ཅིག་དང་ག་རེ་བྱེད་མྱིང་བྲོ་ནས།
STT_TT00761_0195_1261561_to_1267705,བྱས་ཙང་དེ་རེད་མ་གཏོགས། ཨེ་ནས། ཡིད་ཆེས་དད་པ་མེད་པ་རྩ་ནས་མ་རེད། ཀུན་མཁྱེན་ལྷག་པར་དུ་སྔགས་སྐབས་སུ་ཀུན་མཁྱེན་གིས།  ,byas tsang de red ma gtogs/_e nas/_yid ches dad pa med pa rtsa nas ma red/_kun mkhyen lhag par du sngags skabs su kun mkhyen gis/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00761_0195_1261561_to_1267705.wav,STT_TT,3,111,6.144,wav16k/STT_TT00761_0195_1261561_to_1267705.wav,བྱས་ཙང་དེ་རེད་མ་གཏོགས། ཨེ་ནས་ཡིད་ཆེས་དད་པ་མེད་པ་རྩ་ནས་མ་རེད། ཀུན་མཁྱེན་ལྷག་པར་དུ་སྔགས་སྐབས་སུ་ཀུན་མཁྱེན་གིས་
STT_MV0944_0218_1641944_to_1651943,བཙུན་མོ་ཤའོ་ལགས་ཀིས་གཏམ་བཟང་ག་རེ་ཁེར་འདུག ཧེ་ཧེ་ཧེ་ཧ་ཨ་ ,btsun mo sha'o lags kis gtam bzang ga re kher 'dug_he he he ha a _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0944_0218_1641944_to_1651943.wav,STT_MV,3,56,9.999,wav16k/STT_MV0944_0218_1641944_to_1651943.wav,བཙུན་མོ་ཤའོ་ལགས་ཀིས་གཏམ་བཟང་ག་རེ་ཁེར་འདུག ཧེན་ཧུ་ཧ ཧ།
STT_AB00265_0034_216680_to_226305,ཨ་ཕའི་རོ། ག་རེའི་ཞའོ་ཧུང་། མོའི་སྐྱེས་གཟའ་ག་རེ་རེད། ཞེས་རང་གི་ཚ་མོར་སྐད་ཆ་ཤོད་བཞིན། སླར་ཡང་མོའི་མིང་དེས་སུན་སྣང་ཞིག་སྟེར་བས་ ,a pha'i ro/_ga re'i zha'o hung /_mo'i skyes gza' ga re red/_zhes rang gi tsha mor skad cha shod bzhin/_slar yang mo'i ming des sun snang zhig ster bas _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00265_0034_216680_to_226305.wav,STT_AB,3,125,9.625,wav16k/STT_AB00265_0034_216680_to_226305.wav,ཨ་ཕའི་རོ། ག་རེའི་ཞའོ་ཧུང་། མོའི་སྐྱེས་ས་ག་རེ་རེད་ ཞེས་རང་གི་མཚ་མོར་སྐད་ཆ་ཤོད་བཞིན་སླར་ཡང་མོའི་མིང་དེས་སུན་སྣང་ཞིག་སྟེར་བས་
STT_MV0503_0129_1136488_to_1141171,ཁོ་རང་གཉིས་དེ་བཞིན་གཤེགས་པའི་ཞལ་སློབ་ཡིན་པའི་ངོས་ནས།  ,kho rang gnyis de bzhin gshegs pa'i zhal slob yin pa'i ngos nas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0503_0129_1136488_to_1141171.wav,STT_MV,3,54,4.683,wav16k/STT_MV0503_0129_1136488_to_1141171.wav,ཁོ་རང་གཉིས་དེ་བཞིན་གཤེགས་པའི་ཞལ་ལོང་ཡིན་པའི་ངོས་ནས།
